Date,Open,High,Low,Close,Adj Close,Volume
20-07-2021,125.650002,126.349998,121.199997,121.800003,121.800003,48822351
22-07-2021,123.400002,124.199997,122.400002,123.699997,123.699997,20890960
23-07-2021,124.900002,125.449997,122.599998,122.900002,122.900002,18344408
26-07-2021,123,123.75,122.099998,122.599998,122.599998,14838935
27-07-2021,122.800003,123.75,120.199997,121.150002,121.150002,16292819
28-07-2021,121.449997,121.849998,118.400002,120.349998,120.349998,19451371
29-07-2021,120.75,124,120.699997,122.75,122.75,16366211
30-07-2021,122.599998,126.650002,122.300003,125,125,30163350
02-08-2021,126.550003,134,125.550003,133.449997,133.449997,102355625
03-08-2021,134.399994,135.5,132.199997,132.600006,132.600006,50457587
04-08-2021,133,134.649994,130.100006,131.649994,131.649994,33758053
05-08-2021,132.149994,135.399994,129.600006,134.550003,134.550003,39952286
06-08-2021,135.25,136.800003,134.300003,135.149994,135.149994,47743493
09-08-2021,137,137,130.300003,132.050003,132.050003,66874756
10-08-2021,132.449997,133.75,127.050003,130.050003,130.050003,31526384
11-08-2021,130.300003,131.649994,126.5,129.600006,129.600006,32222624
12-08-2021,130.25,134.199997,129.850006,133.649994,133.649994,31898731
13-08-2021,134.350006,134.5,132,132.550003,132.550003,23715152
16-08-2021,132.550003,134.050003,131.649994,132.100006,132.100006,17472608
17-08-2021,132.100006,132.949997,128.5,131.100006,131.100006,21755033
18-08-2021,131.699997,131.800003,130.100006,130.449997,130.449997,18082061
20-08-2021,129,130.199997,125.25,126.199997,126.199997,27402061
23-08-2021,127.099998,127.849998,121.699997,124.949997,124.949997,30434681
24-08-2021,125,126.599998,123.650002,125.900002,125.900002,22809811
25-08-2021,126.400002,127.5,125.5,126.050003,126.050003,18144345
26-08-2021,126.449997,126.599998,124.550003,125.650002,125.650002,16968193
27-08-2021,125.650002,127.599998,125.199997,127.25,127.25,12708091
30-08-2021,128.399994,130.100006,128,129.149994,129.149994,17545528
31-08-2021,130.300003,130.699997,128.25,129.050003,129.050003,24301446
01-09-2021,129.699997,134.25,128.699997,133.399994,133.399994,31166001
02-09-2021,133.850006,134.800003,132.600006,133.600006,133.600006,25276744
03-09-2021,134.050003,135.449997,133.25,133.850006,133.850006,19000628
06-09-2021,134.399994,134.600006,132,132.199997,132.199997,14304796
07-09-2021,132.399994,132.550003,129.25,130.050003,130.050003,14561241
08-09-2021,130.600006,133.5,129.5,133.25,133.25,16351745
09-09-2021,133.199997,134.300003,131.75,132.75,132.75,14453584
13-09-2021,132.75,132.75,130.399994,131.050003,131.050003,13771980
14-09-2021,131.5,133.300003,131.300003,133,133,13305823
15-09-2021,133.100006,142.300003,132.800003,140.050003,140.050003,68917060
16-09-2021,140,142,138.5,140.25,140.25,24490647
17-09-2021,140.850006,141.5,136.100006,137.899994,137.899994,27560843
20-09-2021,137.600006,139.350006,133.199997,134.300003,134.300003,21535092
21-09-2021,134.75,136.300003,131.199997,135.850006,135.850006,22526116
22-09-2021,136.949997,139.649994,136.399994,137.850006,137.850006,21321952
23-09-2021,139.199997,144.899994,138.75,143.649994,143.649994,42890085
24-09-2021,145,145.350006,138.699997,139.100006,139.100006,29040576
27-09-2021,140.300003,140.399994,136.75,138.75,138.75,18192368
28-09-2021,140,142.850006,139.050003,140.050003,140.050003,29196888
29-09-2021,139.800003,158.75,138.899994,151.600006,151.600006,126746990
30-09-2021,152.5,161.199997,151.300003,158.75,158.75,111302311
01-10-2021,158.75,164.949997,156.600006,163.75,163.75,90310679
04-10-2021,166.25,172.5,164,168.600006,168.600006,93787605
05-10-2021,169,184.75,168.350006,179.399994,179.399994,161189379
